mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	9.66E-03	0.026063		8.88E-03	2.44E-04
	9.78E-03	0.026384		8.88E-03	2.47E-04
	9.90E-03	0.026705		9.00E-03	2.52E-04
	9.90E-03	0.026705		9.00E-03	2.55E-04
	9.90E-03	0.026705		9.08E-03	2.58E-04
	9.90E-03	0.026705		9.08E-03	2.62E-04
	9.98E-03	0.026919		9.19E-03	2.66E-04
	9.98E-03	0.026919		9.19E-03	2.69E-04
	9.98E-03	0.026919		9.27E-03	2.73E-04
	9.98E-03	0.026919		9.27E-03	2.75E-04
	0.010097	0.027241		9.39E-03	2.80E-04
	0.010175	0.027455		9.39E-03	2.83E-04
	0.010175	0.027455		9.47E-03	2.88E-04
	0.010175	0.027455		9.47E-03	2.89E-04
	0.010175	0.027455		9.59E-03	2.95E-04
	0.010293	0.027776		9.59E-03	2.96E-04
	0.010372	0.02799		9.59E-03	2.98E-04
	0.010372	0.02799		9.66E-03	3.03E-04
	0.010372	0.02799		9.66E-03	3.06E-04
	0.010372	0.02799		9.78E-03	3.10E-04
	0.010489	0.028312		9.78E-03	3.12E-04
	0.010489	0.028312		9.90E-03	3.18E-04
	0.010489	0.028312		9.90E-03	3.21E-04
	0.010489	0.028312		9.98E-03	3.25E-04
	0.010568	0.028526		9.98E-03	3.28E-04
	0.010568	0.028526		0.010097	3.35E-04
	0.010568	0.028526		0.010097	3.36E-04
	0.010686	0.028848		0.010175	3.41E-04
	0.010686	0.028848		0.010293	3.49E-04
	0.010686	0.028848		0.010293	3.53E-04
	0.010686	0.028848		0.010372	3.58E-04
	0.010764	0.029062		0.010372	3.59E-04
	0.010764	0.029062		0.010489	3.67E-04
	0.010764	0.029062		0.010568	3.73E-04
	0.010882	0.029383		0.010568	3.75E-04
	0.010882	0.029383		0.010686	3.81E-04
	0.010882	0.029383		0.010686	3.85E-04
	0.010882	0.029383		0.010764	3.91E-04
	0.011	0.029705		0.010882	4.00E-04
	0.011	0.029705		0.011	4.08E-04
	0.011	0.029705		0.011079	4.15E-04
	0.011079	0.02992		0.011079	4.19E-04
	0.011079	0.02992		0.011197	4.26E-04
	0.011079	0.02992		0.011275	4.33E-04
	0.011079	0.02992		0.011393	4.42E-04
	0.011079	0.02992		0.011393	4.45E-04
	0.011079	0.02992		0.011472	4.51E-04
	0.011079	0.02992		0.011589	4.59E-04
	0.011197	0.030242		0.011668	4.65E-04
	0.011197	0.030242		0.011668	4.70E-04
	0.011197	0.030242		0.011786	4.79E-04
	0.011197	0.030242		0.011864	4.86E-04
	0.011197	0.030242		0.011982	4.95E-04
	0.011197	0.030242		0.0121	5.08E-04
	0.011197	0.030242		0.012179	5.15E-04
	0.011275	0.030456		0.012297	5.23E-04
	0.011275	0.030456		0.012493	5.41E-04
	0.011275	0.030456		0.012572	5.49E-04
	0.011275	0.030456		0.012689	5.59E-04
	0.011275	0.030456		0.012768	5.72E-04
	0.011275	0.030456		0.012886	5.80E-04
	0.011275	0.030456		0.012964	5.88E-04
	0.011393	0.030778		0.0132	6.09E-04
	0.011393	0.030778		0.013279	6.20E-04
	0.011393	0.030778		0.013475	6.39E-04
	0.011393	0.030778		0.013672	6.59E-04
	0.011393	0.030778		0.013789	6.73E-04
	0.011393	0.030778		0.013986	6.91E-04
	0.011393	0.030778		0.014064	7.03E-04
	0.011393	0.030778		0.0143	7.26E-04
	0.011393	0.030778		0.014497	7.45E-04
	0.011393	0.030778		0.014575	7.57E-04
	0.011393	0.030778		0.014772	7.77E-04
	0.011393	0.030778		0.014889	7.92E-04
	0.011393	0.030778		0.015164	8.25E-04
	0.011472	0.030993		0.015479	8.57E-04
	0.011472	0.030993		0.015793	8.96E-04
	0.011472	0.030993		0.015989	9.21E-04
	0.011472	0.030993		0.016186	9.44E-04
	0.011472	0.030993		0.0165	9.83E-04
	0.011472	0.030993		0.016893	1.03E-03
	0.011472	0.030993		0.017168	1.07E-03
	0.011472	0.030993		0.017482	1.11E-03
	0.011472	0.030993		0.017797	1.15E-03
	0.011472	0.030993		0.018189	1.20E-03
	0.011472	0.030993		0.018779	1.28E-03
	0.011472	0.030993		0.019368	1.36E-03
	0.011472	0.030993		0.019997	1.45E-03
	0.011472	0.030993		0.020468	1.53E-03
	0.011472	0.030993		0.021686	1.72E-03
	0.011472	0.030993		0.022275	1.82E-03
	0.011472	0.030993		0.022982	1.94E-03
	0.011472	0.030993		0.024279	2.17E-03
	0.011472	0.030993		0.025693	2.43E-03
	0.011589	0.031315		0.028286	2.95E-03
	0.011589	0.031315		0.030997	3.56E-03
	0.011589	0.031315		0.033982	4.28E-03
	0.011589	0.031315		0.044197	7.30E-03
	0.011589	0.031315		0.064665	0.015803
	0.011589	0.031315		0.084465	0.027198
	0.011589	0.031315		0.105365	0.042771
	0.011589	0.031315		0.125598	0.061352
	0.011589	0.031315		0.144966	0.082549
	0.011589	0.031315		0.165669	0.108856
	0.011589	0.031315		0.185588	0.137866
	0.011589	0.031315		0.204681	0.169249
	0.011589	0.031315		0.22507	0.206626
	0.011589	0.031315		0.244674	0.246435
	0.011589	0.031315		0.265574	0.293068
	0.011589	0.031315		0.285689	0.342285
	0.011589	0.031315		0.304978	0.393556
	0.011589	0.031315		0.325485	0.452556
	0.011589	0.031315		0.345285	0.513846
	0.011589	0.031315		0.364379	0.577024
	0.011589	0.031315		0.384572	0.648721
	0.011589	0.031315		0.404097	0.722443
	0.011589	0.031315		0.414193	0.762357
	0.011589	0.031315		0.424879	0.805911
	0.011589	0.031315		0.44409	0.887841
	0.011589	0.031315		0.45399	0.931846
	0.011589	0.031315		0.464479	0.98
	0.011589	0.031315		0.474497	1.027188
	0.011589	0.031315		0.48538	1.079896
	0.011589	0.031315		0.495869	1.132087
	0.011589	0.031315		0.505573	1.181667
	0.011589	0.031315		0.515787	1.23537
	0.011589	0.031315		0.525373	1.286936
	0.011589	0.031315		0.534566	1.337542
	0.011589	0.031315		0.544466	1.393373
	0.011589	0.031315		0.555191	1.455134
	0.011589	0.031315		0.565288	1.515036
	0.011589	0.031315		0.575266	1.575561
	0.011589	0.031315		0.584577	1.633168
	0.011589	0.031315		0.594988	1.699028
	0.011589	0.031315		0.604377	1.759781
	0.011589	0.031315		0.614081	1.823998
	0.011589	0.031315		0.62457	1.895052
	0.011589	0.031315		0.634667	1.964747
	0.011589	0.031315		0.645274	2.039781
	0.011589	0.031315		0.655174	2.111269
	0.011589	0.031315		0.664485	2.179623
	0.011589	0.031315		0.674699	2.256477
	0.011589	0.031315		0.684089	2.328246
	0.011589	0.031315		0.693675	2.403201
	0.011589	0.031315		0.699175	2.446622
	0.011589	0.031315		0.704164	2.486646
	0.011589	0.031315		0.713593	2.563187
	0.011589	0.031315		0.718975	2.607359
	0.011589	0.031315		0.723964	2.649056
	0.011589	0.031315		0.728993	2.690995
	0.011589	0.031315		0.734178	2.735059
	0.011589	0.031315		0.743489	2.81503
	0.011589	0.031315		0.7484	2.857504
	0.011589	0.031315		0.753468	2.902156
	0.011589	0.031315		0.762779	2.984848
	0.011589	0.031315		0.767965	3.031559
	0.011589	0.031315		0.773582	3.082641
	0.011589	0.031315		0.778375	3.126768
	0.011589	0.031315		0.783679	3.176002
	0.011589	0.031315		0.793775	3.27062
	0.011589	0.031315		0.799197	3.322439
	0.011589	0.031315		0.804383	3.371956
	0.011589	0.031315		0.809569	3.422548
	0.011589	0.031315		0.814597	3.471507
	0.011589	0.031315		0.823987	3.564334
	0.011589	0.031315		0.828779	3.612568
	0.011589	0.031315		0.833965	3.664899
	0.011589	0.031315		0.843276	3.759985
	0.011589	0.031315		0.848501	3.813967
	0.011589	0.031315		0.85408	3.872329
	0.011589	0.031315		0.859383	3.928209
	0.011589	0.031315		0.864294	3.980109
	0.011589	0.031315		0.868891	4.029402
	0.011589	0.031315		0.873801	4.082357
	0.011589	0.031315		0.879183	4.140934
	0.011589	0.031315		0.884173	4.195734
	0.011589	0.031315		0.889398	4.253139
	0.011589	0.031315		0.894976	4.315399
	0.011589	0.031315		0.90028	4.374792
	0.011589	0.031315		0.905073	4.429564
	0.011589	0.031315		0.909984	4.485288
	0.011589	0.031315		0.91458	4.538
	0.011589	0.031315		0.91957	4.595918
	0.011589	0.031315		0.924991	4.658933
	0.011589	0.031315		0.930098	4.718947
	0.011589	0.031315		0.935598	4.78441
	0.011589	0.031315		0.940902	4.847722
	0.011589	0.031315		0.945773	4.906291
	0.011589	0.031315		0.951077	4.970693
	0.011589	0.031315		0.956066	5.03193
	0.011589	0.031315		0.960584	5.087539
	0.011589	0.031315		0.965495	5.148189
	0.011589	0.031315		0.970288	5.208005
	0.011589	0.031315		0.975592	5.274507
	0.011589	0.031315		0.981092	5.344153
	0.011589	0.031315		0.986199	5.40945
	0.011589	0.031315		0.991502	5.477509
	0.011589	0.031315		0.996492	5.542144
	0.011589	0.031315		1.000892	5.599772
	0.011589	0.031315		1.005803	5.664131
	0.011589	0.031315		1.010478	5.726187
	0.011589	0.031315		1.015781	5.796345
	0.011589	0.031315		1.021163	5.868809
	0.011589	0.031315		1.026388	5.938863
	0.011589	0.031315		1.031299	6.005886
	0.011589	0.031315		1.036564	6.077632
	0.011589	0.031315		1.040964	6.138623
	0.011589	0.031315		1.045874	6.206346
	0.011589	0.031315		1.051099	6.279168
	0.011589	0.031315		1.055774	6.344935
	0.011589	0.031315		1.058367	6.381548
	0.011589	0.031315		1.061196	6.421583
	0.011589	0.031315		1.066264	6.494021
	0.011589	0.031315		1.071096	6.563052
	0.011589	0.031315		1.0764	6.63929
	0.011589	0.031315		1.078993	6.677079
	0.011589	0.031315		1.081782	6.718015
	0.011589	0.031315		1.084493	6.75724
	0.011589	0.031315		1.086968	6.793465
	0.011589	0.031315		1.092075	6.868512
	0.011589	0.031315		1.094786	6.908585
	0.011589	0.031315		1.097693	6.951665
	0.011589	0.031315		1.100364	6.991691
	0.011589	0.031315		1.102996	7.030801
	0.011589	0.031315		1.107789	7.10293
	0.011589	0.031315		1.1127	7.17722
	0.011589	0.031315		1.115175	7.214764
	0.011589	0.031315		1.117886	7.256246
	0.011589	0.031315		1.122797	7.330953
	0.011589	0.031315		1.127275	7.399853
	0.011589	0.031315		1.12979	7.438864
	0.011589	0.031315		1.1325	7.481014
	0.011589	0.031315		1.134975	7.519198
	0.011589	0.031315		1.13749	7.558891
	0.011589	0.031315		1.139886	7.595799
	0.011589	0.031315		1.1424	7.635537
	0.011589	0.031315		1.146879	7.706206
	0.011589	0.031315		1.149393	7.74586
	0.011589	0.031315		1.151986	7.787233
	0.011589	0.031315		1.1567	7.862165
	0.011589	0.031315		1.159293	7.903732
	0.011589	0.031315		1.16169	7.94233
	0.011589	0.031315		1.164401	7.985487
	0.011589	0.031315		1.16719	8.030915
	0.011668	0.03153		1.169979	8.07602
	0.011668	0.03153		1.172493	8.117267
	0.011668	0.03153		1.17489	8.156354
	0.011668	0.03153		1.177483	8.198772
	0.011668	0.03153		1.182079	8.274156
	0.011668	0.03153		1.184594	8.315614
	0.011668	0.03153		1.186872	8.35353
	0.011668	0.03153		1.189386	8.395271
	0.011668	0.03153		1.192176	8.441305
	0.011668	0.03153		1.194572	8.481499
	0.011668	0.03153		1.197165	8.52485
	0.011668	0.03153		1.199483	8.563645
	0.011668	0.03153		1.201997	8.606125
	0.011668	0.03153		1.206476	8.681754
	0.011668	0.03153		1.20899	8.724392
	0.011668	0.03153		1.211583	8.768629
	0.011668	0.03153		1.216297	8.84883
	0.011668	0.03153		1.21889	8.893254
	0.011668	0.03153		1.221287	8.934672
	0.011668	0.03153		1.22388	8.979469
	0.011668	0.03153		1.226787	9.029661
	0.011668	0.03153		1.229498	9.07696
	0.011786	0.031852		1.23209	9.12173
	0.011786	0.031852		1.234487	9.16365
	0.011786	0.031852		1.23708	9.208945
	0.011786	0.031852		1.241598	9.288527
	0.011786	0.031852		1.244073	9.332174
	0.011786	0.031852		1.246469	9.37435
	0.011786	0.031852		1.248983	9.41877
	0.011786	0.031852		1.251694	9.467309
	0.011786	0.031852		1.254091	9.510036
	0.011864	0.032067		1.256684	9.556338
	0.011864	0.032067		1.259198	9.60138
	0.011864	0.032067		1.261476	9.642628
	0.011864	0.032067		1.265994	9.723997
	0.011864	0.032067		1.268469	9.768663
	0.011864	0.032067		1.271102	9.816257
	0.011864	0.032067		1.275698	9.900372
	0.011982	0.032389		1.278291	9.94793
	0.011982	0.032389		1.280687	9.99199
	0.011982	0.032389		1.283398	10.041382
	0.011982	0.032389		1.286187	10.093239
	0.011982	0.032389		1.288898	10.142996
	0.0121	0.032712		1.291373	10.189052
	0.0121	0.032712		1.294084	10.239503
	0.0121	0.032712		1.296991	10.293527
	0.0121	0.032712		1.299388	10.338696
	0.012179	0.032927		1.301784	10.383419
	0.012179	0.032927		1.304298	10.431025
	0.012179	0.032927		1.307088	10.483389
	0.012179	0.032927		1.309602	10.530733
	0.012179	0.032927		1.311881	10.574248
	0.012297	0.033249		1.314473	10.623184
	0.012297	0.033249		1.317184	10.674954
	0.012297	0.033249		1.320091	10.730284
	0.012375	0.033464		1.322802	10.782436
	0.012493	0.033787		1.325198	10.828554
	0.012493	0.033787		1.32787	10.879787
	0.012493	0.033787		1.330266	10.926455
	0.012572	0.034002		1.332584	10.971086
	0.012572	0.034002		1.335177	11.021115
	0.012572	0.034002		1.337888	11.073927
	0.012572	0.034002		1.340677	11.128512
	0.012689	0.034325		1.343388	11.181453
	0.012689	0.034325		1.345902	11.230463
	0.012689	0.034325		1.348495	11.281609
	0.012768	0.03454		1.351167	11.334155
	0.012886	0.034863		1.353681	11.383909
	0.012886	0.034863		1.355999	11.429526
	0.012886	0.034863		1.358474	11.478524
	0.012886	0.034863		1.361067	11.530881
	0.012964	0.035078		1.363974	11.588287
	0.013082	0.035402		1.36637	11.636273
	0.0132	0.035725		1.368963	11.688774
	0.0132	0.035725		1.371674	11.742892
	0.013279	0.03594		1.374188	11.793446
	0.013397	0.036263		1.376467	11.839309
	0.013397	0.036263		1.378863	11.888062
	0.013397	0.036263		1.381574	11.94286
	0.013475	0.036479		1.384403	12.00023
	0.013593	0.036802		1.386799	12.049209
	0.013672	0.037018		1.389471	12.103976
	0.013672	0.037018		1.392103	12.157685
	0.013672	0.037018		1.394578	12.208572
	0.013789	0.037342		1.396778	12.254056
	0.013868	0.037557		1.399174	12.3038
	0.013986	0.037881		1.401885	12.359343
	0.013986	0.037881		1.404674	12.417194
	0.013986	0.037881		1.407385	12.473117
	0.014064	0.038097		1.409781	12.523521
	0.014182	0.038421		1.412178	12.573533
	0.0143	0.038744		1.414771	12.627911
	0.014379	0.03896		1.416971	12.674277
	0.014379	0.03896		1.419485	12.72668
	0.014379	0.03896		1.422078	12.781412
	0.014497	0.039284		1.424867	12.840176
	0.014575	0.0395		1.427578	12.897509
	0.014693	0.039825		1.429975	12.948353
	0.014772	0.040041		1.432371	12.999345
	0.014889	0.040365		1.435003	13.055005
	0.014889	0.040365		1.437164	13.101501
	0.014889	0.040365		1.4396	13.153701
