mon data pour n=1					
	rho	F(rho)		rho	G(rho)
	0.508087	2.347053		2.117285	31.547907
	0.509501	2.357423		2.117403	31.5521
	0.510798	2.366923		2.117874	31.566563
	0.513194	2.384609		2.11807	31.573459
	0.514491	2.394175		2.118699	31.592756
	0.515787	2.403765		2.118974	31.602072
	0.518066	2.420707		2.119288	31.611726
	0.52058	2.439474		2.119367	31.61472
	0.522976	2.457487		2.119878	31.630413
	0.525176	2.474016		2.120074	31.637321
	0.527494	2.491614		2.120703	31.656649
	0.530087	2.511285		2.120781	31.659646
	0.532484	2.52962		2.12137	31.677775
	0.534684	2.546442		2.121488	31.682272
	0.537277	2.566453		2.121999	31.697992
	0.538691	2.577401		2.122274	31.70704
	0.540066	2.588088		2.122903	31.726401
	0.542502	2.607057		2.122981	31.729694
	0.545095	2.62736		2.123492	31.745431
	0.54757	2.646796		2.12357	31.748436
	0.549887	2.665142		2.123767	31.754491
	0.55248	2.685725		2.123885	31.758125
	0.554995	2.705811		2.124199	31.767816
	0.557273	2.72403		2.124278	31.771113
	0.559395	2.741124		2.124867	31.789291
	0.561673	2.759578		2.125103	31.797147
	0.564188	2.779922		2.125692	31.815338
	0.566898	2.802052		2.125888	31.822276
	0.569373	2.822378		2.126478	31.840478
	0.572202	2.845642		2.126674	31.847423
	0.574991	2.868805		2.127263	31.865634
	0.577466	2.88943		2.127499	31.873505
	0.579902	2.909769		2.127892	31.885653
	0.579863	2.909457		2.128088	31.892606
	0.582495	2.931519		2.128796	31.914485
	0.585166	2.954179		2.128874	31.917501
	0.587877	2.977195		2.129581	31.939394
	0.590391	2.998633		2.129778	31.946355
	0.593102	3.021836		2.130367	31.96461
	0.595891	3.04594		2.130603	31.972503
	0.598366	3.067373		2.131271	31.993206
	0.600802	3.088581		2.131388	31.997739
	0.603277	3.110208		2.131899	32.013579
	0.606067	3.134729		2.131978	32.016018
	0.608581	3.157007		2.132174	32.022699
	0.610899	3.177515		2.132881	32.044647
	0.613492	3.200652		2.132999	32.049189
	0.616202	3.224973		2.133785	32.073591
	0.61907	3.25075		2.133981	32.080283
	0.621781	3.27532		2.134688	32.102261
	0.624177	3.29712		2.134767	32.105586
	0.626888	3.32196		2.135592	32.131245
	0.629285	3.343965		2.135671	32.134572
	0.631602	3.365382		2.136378	32.156579
	0.634195	3.389373		2.136496	32.160839
	0.636867	3.414328		2.137399	32.188978
	0.639695	3.44075		2.137478	32.192312
	0.642367	3.465914		2.138185	32.214349
	0.644881	3.489721		2.138381	32.221063
	0.647474	3.514423		2.139167	32.245568
	0.650185	3.540301		2.139403	32.253808
	0.652699	3.56445		2.139796	32.266068
	0.657492	3.61068		2.140071	32.274652
	0.660085	3.635955		2.140267	32.281376
	0.662599	3.660542		2.141092	32.307144
	0.665192	3.686054		2.141288	32.314167
	0.668099	3.714731		2.142074	32.338728
	0.670574	3.7394		2.142192	32.343005
	0.672971	3.763225		2.142781	32.361436
	0.677567	3.809467		2.143096	32.371269
	0.680082	3.834802		2.143174	32.374617
	0.682871	3.863141		2.144078	32.402902
	0.685582	3.890736		2.144274	32.409647
	0.687978	3.915445		2.145296	32.44165
	0.692771	3.964865		2.145374	32.445004
	0.695285	3.991046		2.145964	32.463479
	0.697996	4.019266		2.146199	32.470871
	0.700864	4.049452		2.146278	32.473336
	0.703575	4.078053		2.146396	32.477925
	0.708564	4.131081		2.147378	32.508747
	0.713475	4.183798		2.147496	32.513041
	0.718582	4.239072		2.148203	32.53525
	0.723493	4.292748		2.148478	32.543888
	0.727893	4.341232		2.148674	32.550956
	0.727893	4.341232		2.149067	32.563303
	0.732882	4.396783		2.149381	32.573185
	0.737596	4.449643		2.149774	32.585537
	0.742664	4.506951		2.149892	32.589841
	0.748086	4.568977		2.150874	32.620744
	0.752879	4.624195		2.151071	32.627823
	0.757986	4.683626		2.151385	32.637719
	0.762779	4.740102		2.151464	32.640193
	0.767179	4.79212		2.151699	32.647617
	0.772168	4.851831		2.152171	32.662468
	0.776882	4.908537		2.152289	32.66678
	0.781872	4.96929		2.153074	32.691545
	0.787293	5.035814		2.153585	32.707652
	0.792086	5.095146		2.153664	32.711028
	0.797193	5.158935		2.153978	32.720943
	0.806386	5.275389		2.154489	32.737059
	0.811179	5.336886		2.154881	32.749462
	0.816483	5.405541		2.154999	32.753783
	0.82709	5.544796		2.155667	32.774876
	0.83699	5.677219		2.156099	32.78853
	0.847597	5.821603		2.156296	32.794738
	0.858283	5.969921		2.156374	32.798122
	0.868498	6.114287		2.156492	32.801848
	0.887866	6.395492		2.157003	32.817994
	0.908491	6.70541		2.157396	32.830421
	0.92837	7.014877		2.157671	32.839122
	0.947502	7.322942		2.157867	32.845936
	0.967891	7.662682		2.158182	32.855884
	0.987377	7.998718		2.158692	32.872052
	0.997395	8.1758		2.159085	32.884495
	1.008278	8.37163		2.159281	32.890714
	1.018767	8.563789		2.159399	32.895351
	1.028274	8.741007		2.159596	32.901576
	1.038292	8.930545		2.159989	32.914026
	1.048782	9.132725		2.160185	32.920254
	1.058564	9.324356		2.160499	32.930218
	1.063985	9.432043		2.160774	32.938937
	1.069092	9.534079		2.160892	32.942675
	1.0786	9.726678		2.160971	32.946071
	1.083982	9.836983		2.161285	32.956041
	1.088971	9.940248		2.161796	32.972246
	1.094275	10.050641		2.162071	32.980976
	1.099264	10.155697		2.162464	32.993451
	1.103782	10.251301		2.162582	32.997194
	1.108693	10.356149		2.162699	33.001539
	1.113368	10.45695		2.162974	33.010274
	1.118672	10.571922		2.163171	33.016515
	1.124093	10.690635		2.163485	33.026501
	1.129279	10.805035		2.163682	33.032744
	1.13419	10.91418		2.163878	33.038987
	1.139493	11.033303		2.163996	33.042736
	1.139493	11.033303		2.164074	33.045232
	1.143893	11.132685		2.164389	33.055226
	1.148765	11.243669		2.164467	33.058632
	1.15399	11.363538		2.164703	33.066129
	1.158665	11.471937		2.164978	33.074878
	1.161297	11.533022		2.165371	33.087378
	1.164086	11.598383		2.165489	33.091128
	1.166797	11.661716		2.165685	33.097381
	1.169272	11.720328		2.165882	33.103634
	1.174065	11.833941		2.166078	33.109889
	1.176579	11.893994		2.166274	33.116141
	1.17929	11.959022		2.166392	33.119897
	1.182197	12.02857		2.166471	33.123004
	1.184869	12.093321		2.166589	33.126758
	1.187265	12.151546		2.166785	33.133015
	1.189897	12.215559		2.166982	33.139274
	1.194769	12.334849		2.167178	33.145533
	1.197479	12.401439		2.167571	33.158054
	1.199994	12.463566		2.167767	33.164316
	1.204394	12.573304		2.167885	33.168074
	1.206869	12.635227		2.168082	33.174337
	1.209265	12.695171		2.168278	33.180601
	1.211583	12.753926		2.168592	33.190626
	1.214176	12.819195		2.168592	33.191537
	1.218772	12.936119		2.168789	33.197803
	1.221601	13.008559		2.168985	33.204072
	1.224272	13.077179		2.169064	33.206579
	1.22659	13.136965		2.169182	33.21034
	1.229183	13.203977		2.169299	33.214102
	1.231698	13.269382		2.169496	33.220372
	1.233976	13.32894		2.169574	33.22288
	1.23649	13.394712		2.169692	33.226643
	1.239201	13.466103		2.169771	33.229151
	1.242069	13.541504		2.169967	33.235424
	1.24478	13.613395		2.170085	33.239187
	1.247176	13.677126		2.170164	33.241697
	1.249769	13.746692		2.170282	33.245462
	1.25248	13.819187		2.1704	33.249227
	1.255073	13.889056		2.170478	33.251737
	1.257273	13.948484		2.170596	33.255502
	1.259787	14.01647		2.170675	33.258012
	1.262498	14.090437		2.170792	33.261778
	1.265287	14.166867		2.170871	33.26429
	1.267684	14.23273		2.170989	33.268665
	1.270394	14.307185		2.171067	33.271174
	1.272987	14.379087		2.171185	33.274941
	1.275502	14.448804		2.171264	33.277454
	1.27778	14.512395		2.1715	33.284989
	1.280177	14.579587		2.171578	33.287501
	1.282887	14.655539		2.171696	33.291269
	1.285677	14.734347		2.171775	33.293782
	1.285677	14.734347		2.171892	33.297551
	1.288073	14.802077		2.171971	33.300065
	1.290666	14.876036		2.172089	33.303833
	1.29318	14.947746		2.172167	33.306345
	1.295773	15.022152		2.172285	33.310118
	1.298091	15.088402		2.172482	33.3164
	1.300488	15.157801		2.172599	33.32017
	1.30308	15.232916		2.172678	33.322685
	1.304573	15.27637		2.172796	33.326457
	1.305988	15.316997		2.172875	33.328971
	1.30858	15.39309		2.172992	33.332743
	1.310977	15.463166		2.173071	33.335258
	1.313373	15.533671		2.173189	33.339031
	1.315888	15.608009		2.173267	33.341547
	1.317184	15.646124		2.173385	33.34532
	1.318598	15.688063		2.173464	33.347835
	1.319777	15.723084		2.173582	33.351607
	1.321073	15.761928		2.173699	33.356297
	1.32237	15.800357		2.173778	33.358814
	1.323588	15.836843		2.173896	33.362589
	1.325984	15.9086		2.173975	33.365105
	1.328184	15.974792		2.174092	33.36888
	1.330384	16.041212		2.174171	33.371397
	1.331799	16.083695		2.174289	33.375173
	1.333174	16.125332		2.174367	33.377692
	1.33557	16.198348		2.174485	33.381467
	1.336984	16.24152		2.174603	33.385243
	1.338281	16.280922		2.174682	33.38776
	1.339774	16.326859		2.1748	33.39154
	1.341266	16.372561		2.174878	33.394057
	1.342484	16.409981		2.174996	33.397833
	1.343781	16.449895		2.175075	33.400353
	1.346177	16.52362		2.175192	33.404131
	1.347474	16.564115		2.175271	33.40665
	1.348888	16.607579		2.175389	33.410429
	1.350184	16.648246		2.175467	33.412948
	1.351481	16.687947		2.175585	33.416728
	1.352581	16.722715		2.175703	33.420507
	1.353877	16.763091		2.175782	33.423029
	1.356195	16.835692		2.1759	33.426809
	1.357492	16.876297		2.175978	33.429327
	1.358788	16.916984		2.176096	33.433107
	1.361302	16.996467		2.176175	33.435629
	1.362481	17.033559		2.176292	33.439411
	1.363777	17.0751		2.176371	33.441932
	1.364877	17.109828		2.176489	33.445714
	1.366095	17.148295		2.176567	33.448235
	1.367195	17.183687		2.176685	33.452018
	1.368374	17.221122		2.176803	33.4558
	1.370495	17.288967		2.176882	33.458936
	1.371792	17.330669		2.177	33.462718
	1.371792	17.330669		2.177078	33.465239
	1.373167	17.374633		2.177196	33.469025
	1.374385	17.413599		2.177275	33.471547
	1.375681	17.455371		2.177392	33.475331
	1.376781	17.491295		2.177471	33.477855
	1.378078	17.532858		2.177589	33.48164
	1.380395	17.608249		2.177667	33.484163
	1.381692	17.650413		2.177785	33.487949
	1.382988	17.692848		2.177864	33.490474
	1.384403	17.738783		2.177982	33.494259
	1.385778	17.783617		2.1781	33.498045
	1.387074	17.826134		2.178178	33.500571
	1.388174	17.862328		2.178296	33.504358
	1.389471	17.905005		2.178375	33.506882
	1.390885	17.951591		2.178492	33.510668
	1.392181	17.994447		2.178571	33.513194
	1.393596	18.041041		2.178689	33.516982
	1.394774	18.08004		2.178767	33.519508
	1.396071	18.123156		2.178885	33.523297
	1.397485	18.170031		2.178964	33.525823
	1.398978	18.22003		2.179082	33.529612
	1.400392	18.267306		2.1792	33.533401
	1.401689	18.310225		2.179278	33.535929
	1.402985	18.353993		2.179396	33.539718
	1.404164	18.393371		2.179475	33.542244
	1.405499	18.438547		2.179592	33.546034
	1.406874	18.484868		2.179671	33.548563
	1.408171	18.528795		2.179789	33.552354
	1.409467	18.572422		2.179867	33.554881
	1.410567	18.609696		2.179985	33.558673
	1.411785	18.650986		2.180064	33.561201
	1.412964	18.691093		2.180182	33.564993
	1.414299	18.736692		2.1803	33.568786
	1.415478	18.776957		2.180378	33.571315
	1.416578	18.814776		2.180496	33.575108
	1.417874	18.858775		2.180575	33.577636
	1.419289	18.907447		2.180692	33.581432
	1.420664	18.954761		2.180771	33.58396
	1.421882	18.996693		2.180889	33.587753
	1.423178	19.041054		2.180967	33.590284
	1.424396	19.083148		2.181085	33.594079
	1.425692	19.127878		2.181164	33.597531
	1.427067	19.175656		2.181282	33.601326
	1.428364	19.22097		2.1814	33.605122
	1.429896	19.274292		2.181478	33.607653
	1.431192	19.319197		2.181596	33.611449
	1.432489	19.364998		2.181675	33.613981
	1.433785	19.410086		2.181793	33.617778
	1.4352	19.45996		2.181871	33.620307
	1.436496	19.505234		2.181989	33.624105
	1.437675	19.546893		2.182067	33.626638
	1.437675	19.546893		2.182185	33.630436
	1.438775	19.58541		2.182264	33.632968
	1.439992	19.628521		2.182382	33.636767
	1.441289	19.674331		2.1825	33.640565
	1.442389	19.713469		2.182578	33.643098
	1.443803	19.763389		2.182696	33.646898
	1.4451	19.809465		2.182775	33.649432
	1.446278	19.851675		2.182892	33.653231
	1.447496	19.895077		2.182971	33.655763
	1.448871	19.94468		2.183089	33.659566
	1.450364	19.997545		2.183167	33.662099
	1.451582	20.041424		2.183285	33.6659
	1.452996	20.092464		2.183403	33.6697
	1.454175	20.134768		2.183364	33.668434
	1.455471	20.18137		2.183403	33.6697
	1.456768	20.228272		2.183482	33.672236
	1.458064	20.275266		2.1836	33.676038
	1.459282	20.319453		2.183678	33.678572
	1.460264	20.355425		2.183796	33.682375
	1.4616	20.40381		2.183875	33.68491
	1.4627	20.443966		2.183992	33.688713
	1.463996	20.491174		2.184071	33.69125
	1.465371	20.541402		2.184189	33.695054
	1.466471	20.582214		2.184267	33.697588
	1.467768	20.629268		2.184385	33.701391
	1.469064	20.677054		2.184464	33.703929
	1.469889	20.707238		2.184582	33.707734
	1.470596	20.733571		2.1847	33.711539
	1.471971	20.784303		2.184778	33.714076
	1.473268	20.832178		2.184896	33.717881
	1.474564	20.880364		2.184975	33.720419
	1.475782	20.925237		2.185092	33.724225
	1.476882	20.966047		2.185171	33.726764
	1.4781	21.011728		2.185289	33.730569
	1.479396	21.059614		2.185367	33.733106
	1.480064	21.084939		2.185485	33.736913
	1.480771	21.111026		2.185564	33.739453
	1.482068	21.159759		2.185682	33.743261
	1.483168	21.200959		2.1858	33.747067
	1.484464	21.249871		2.185878	33.749608
	1.485564	21.291219		2.185996	33.753416
	1.486586	21.329393		2.186075	33.755956
	1.487686	21.370874		2.186193	33.759765
	1.488864	21.415678		2.186271	33.762305
	1.4902	21.465977		2.186389	33.766114
	1.4913	21.507684		2.186467	33.768653
	1.492479	21.552288		2.186585	33.772466
	1.493697	21.599055		2.186664	33.775005
	1.494993	21.648079		2.186782	33.778815
	1.4957	21.675429		2.1869	33.782626
	1.496368	21.700712		2.186978	33.785169
	1.496368	21.700712		2.187096	33.78898
	1.496997	21.724597		2.187175	33.791522
	1.497586	21.747082		2.187293	33.795334
	1.498293	21.774312		2.187371	33.797876
	1.498882	21.797066		2.187489	33.801689
	1.5001	21.843611		2.187568	33.804232
	1.501082	21.881646		2.187685	33.808046
	1.5023	21.927894		2.187764	33.810586
	1.503479	21.973693		2.187882	33.8144
	1.504186	22.000711		2.188	33.818217
	1.504893	22.027761		2.188078	33.820758
	1.505482	22.050739		2.188196	33.824573
	1.506072	22.073967		2.188275	33.827117
	1.50729	22.121015		2.188393	33.830932
	1.507997	22.14819		2.188471	33.833476
	1.508665	22.174171		2.188589	33.837292
	1.509372	22.20186		2.188668	33.839837
	1.510197	22.233473		2.188785	33.843653
	1.510865	22.260002		2.188864	33.846196
	1.511493	22.284411		2.188982	33.850016
	1.5122	22.311757		2.1891	33.853833
	1.51279	22.334758		2.189178	33.856377
	1.513379	22.357782		2.189296	33.860194
	1.513968	22.380822		2.189375	33.862741
	1.515186	22.42866		2.189493	33.866559
	1.515775	22.451766		2.189571	33.869105
	1.516482	22.479286		2.189689	33.872924
	1.517072	22.502433		2.189768	33.87547
	1.5177	22.527072		2.189885	33.87929
	1.518879	22.573475		2.189964	33.881838
	1.5199	22.6136		2.190082	33.885658
	1.52049	22.636868		2.1902	33.889478
	1.521197	22.664583		2.190278	33.892024
	1.522297	22.708271		2.190396	33.895845
	1.522965	22.734579		2.190475	33.898394
	1.523593	22.759435		2.190593	33.902215
	1.524183	22.782832		2.190671	33.904763
	1.52489	22.810698		2.190789	33.908585
	1.525479	22.834841		2.190868	33.911134
	1.526068	22.857835		2.190985	33.914956
	1.527286	22.906309		2.191064	33.917506
	1.527993	22.934306		2.191182	33.921329
	1.528583	22.957855		2.1913	33.925152
	1.52929	22.985903		2.191378	33.9277
	1.529997	23.013984		2.191496	33.931527
	1.531293	23.066448		2.191575	33.934075
	1.532	23.094611		2.191693	33.937899
	1.532668	23.121302		2.191771	33.94045
	1.533297	23.146519		2.191889	33.944276
	1.533886	23.170257		2.191968	33.946826
	1.535065	23.217312		2.192085	33.950652
	1.535065	23.217312		2.192203	33.954478
	1.535693	23.242618		2.192282	33.957029
	1.536401	23.271684		2.1924	33.960856
	1.537579	23.318675		2.192478	33.963408
	1.538168	23.342563		2.192596	33.967236
	1.538876	23.371015		2.192675	33.969785
	1.540093	23.420658		2.192793	33.973613
	1.540801	23.449193		2.192871	33.976166
	1.541468	23.476236		2.192989	33.979995
	1.542097	23.501783		2.193068	33.982547
	1.542765	23.528877		2.193185	33.986376
	1.543865	23.573505		2.193264	33.988929
	1.544493	23.599143		2.193382	33.992759
	1.545083	23.623276		2.1935	33.996588
	1.546065	23.663221		2.193578	33.999143
	1.546693	23.689185		2.193696	34.002972
	1.547165	23.708067		2.193775	34.005525
	1.548383	23.758079		2.193893	34.009358
	1.54909	23.786966		2.193971	34.011911
	1.549679	23.811264		2.194089	34.015743
	1.550897	23.860974		2.194168	34.018297
	1.551486	23.885338		2.194285	34.022129
	1.552076	23.909722		2.194364	34.024684
	1.553176	23.954968		2.194482	34.028517
	1.553883	23.984058		2.1946	34.03235
	1.554472	24.008529		2.194678	34.034906
	1.555179	24.037677		2.194796	34.038739
	1.555769	24.061699		2.194875	34.041296
	1.556476	24.090902		2.194993	34.04513
	1.557065	24.115464		2.195071	34.047685
	1.557694	24.141607		2.195189	34.051519
	1.558283	24.166215		2.195268	34.054077
	1.559383	24.211878		2.195385	34.057912
	1.559972	24.235803		2.195464	34.060469
	1.560483	24.257365		2.195582	34.064305
	1.56119	24.28677		2.1957	34.068141
	1.561779	24.311007		2.195778	34.070698
	1.562369	24.335765		2.195896	34.074535
	1.563076	24.365251		2.195975	34.077094
	1.563665	24.390053		2.196093	34.08093
	1.564372	24.419598		2.196171	34.083487
	1.565079	24.44917		2.196289	34.087325
	1.565669	24.473548		2.196368	34.089885
	1.566179	24.495291		2.196485	34.093723
	1.566769	24.520211		2.196564	34.096282
	1.567476	24.549386		2.196682	34.100121
	1.568183	24.579095		2.1968	34.103961
	1.568772	24.604086		2.196878	34.10652
	1.569479	24.633852		2.196996	34.11036
	1.570187	24.663649		2.197075	34.11292
	1.570776	24.688209		2.197193	34.11676
	1.570776	24.688209		2.197271	34.11932
	1.571601	24.722828		2.197389	34.123163
	1.572269	24.751127		2.197468	34.125723
	1.572897	24.77786		2.197585	34.129563
	1.573565	24.806213		2.197664	34.132125
	1.574194	24.832998		2.197782	34.135967
	1.574783	24.857701		2.1979	34.139809
	1.575372	24.882936		2.197978	34.142371
	1.576001	24.909025		2.198096	34.146214
	1.57659	24.934306		2.198175	34.148776
	1.577101	24.955894		2.198293	34.15262
	1.577769	24.984421		2.198371	34.155183
	1.578397	25.011368		2.198489	34.159028
	1.578987	25.036226		2.198568	34.161588
	1.579576	25.061616		2.198685	34.165432
	1.580283	25.091858		2.198764	34.167997
	1.58099	25.12213		2.198882	34.171842
	1.58158	25.146825		2.199	34.175688
	1.582287	25.17741		2.199078	34.178251
	1.582876	25.202923		2.199196	34.182097
	1.583465	25.227685		2.199275	34.184662
	1.583976	25.249491		2.199393	34.188508
	1.584565	25.275066		2.199471	34.191074
	1.585194	25.301509		2.199589	34.19492
	1.585901	25.331999		2.199668	34.197484
	1.58649	25.357909		2.199786	34.201334
	1.58708	25.382799		2.199786	34.200395
	1.587669	25.40849		2.199864	34.202959
	1.58818	25.430431		2.199982	34.206807
	1.588769	25.455382		2.2001	34.210654
	1.589397	25.48277		2.200178	34.213222
	1.589869	25.503133		2.200296	34.217071
	1.59038	25.525663		2.200375	34.219637
	1.590969	25.550959		2.200493	34.223486
	1.591597	25.577646		2.200571	34.226053
	1.592187	25.603511		2.200689	34.229903
	1.592894	25.634314		2.200768	34.232471
	1.593601	25.664623		2.200886	34.236322
	1.594269	25.693847		2.200964	34.238888
	1.594898	25.721457		2.201082	34.242738
	1.595369	25.741981		2.2012	34.24659
	1.596076	25.772135		2.201278	34.249159
	1.596665	25.798169		2.201396	34.253011
	1.597373	25.829173		2.201475	34.255579
	1.59808	25.859681		2.201593	34.259432
	1.598787	25.890749		2.201671	34.262001
	1.599376	25.916886		2.201789	34.265854
	1.600083	25.947482		2.201868	34.268424
	1.600476	25.964582		2.201986	34.272277
	1.600869	25.981957		2.202064	34.274845
	1.601576	26.013152		2.202182	34.2787
	1.601576	26.013152		2.2023	34.282557
	1.602283	26.04358		2.202378	34.285126
	1.602873	26.069849		2.202496	34.28898
	1.603501	26.09727		2.202575	34.291551
	1.604169	26.126921		2.202693	34.295407
	1.604798	26.154394		2.202771	34.297978
	1.605387	26.180759		2.202889	34.301834
	1.605898	26.203001		2.202968	34.304405
	1.606487	26.228873		2.203086	34.308262
	1.607076	26.255304		2.203164	34.310833
	1.607783	26.285975		2.203282	34.314693
	1.608176	26.303536		2.2034	34.318551
	1.608569	26.320838		2.203478	34.32112
	1.609198	26.349297		2.203596	34.324979
	1.609866	26.378382		2.203675	34.327552
	1.610494	26.406625		2.203793	34.331411
	1.611083	26.432668		2.203871	34.333984
	1.611791	26.463516		2.203989	34.337844
	1.61238	26.490151		2.204068	34.339789
	1.613087	26.52133		2.204186	34.343649
	1.613676	26.548014		2.204264	34.346223
	1.614069	26.565726		2.204382	34.350084
	1.614501	26.584324		2.2045	34.353944
	1.615091	26.611065		2.204578	34.356517
	1.61568	26.63701		2.204696	34.360381
	1.616387	26.668883		2.204775	34.362954
	1.616976	26.695149		2.204893	34.366816
	1.617566	26.721166		2.204971	34.369391
	1.617998	26.740677		2.205089	34.373253
	1.618273	26.753124		2.205168	34.375829
	1.61898	26.784569		2.205286	34.379692
	1.619373	26.802417		2.205364	34.382269
	1.619687	26.816594		2.205482	34.386131
	1.62008	26.834459		2.2056	34.389995
	1.620473	26.852063		2.205678	34.392573
	1.621101	26.880193		2.205796	34.396437
	1.621494	26.897822		2.205875	34.399013
	1.621769	26.909783		2.205993	34.402877
	1.622476	26.941937		2.206071	34.405455
	1.622791	26.956452		2.206189	34.409321
	1.623184	26.973573		2.206268	34.411898
	1.623773	27.00065		2.206386	34.415764
	1.624401	27.028915		2.206464	34.418342
	1.624676	27.041476		2.206582	34.422209
	1.625069	27.058645		2.2067	34.426076
	1.625698	27.087515		2.206778	34.428656
	1.626287	27.114137		2.206896	34.432522
	1.626876	27.140507		2.206975	34.4351
	1.627466	27.167172		2.207093	34.438968
	1.627976	27.190969		2.207171	34.441548
	1.628369	27.208217		2.207289	34.445417
	1.628369	27.208217		2.207289	34.444472
	1.628684	27.222579		2.207368	34.447051
	1.629391	27.254499		2.207486	34.45092
	1.629666	27.267432		2.207564	34.4535
	1.62998	27.28182		2.207682	34.45737
	1.630373	27.299954		2.2078	34.46124
	1.630766	27.317262		2.207878	34.463821
	1.631394	27.346371		2.207996	34.467691
	1.631669	27.358505		2.208075	34.470271
	1.631984	27.372932		2.208193	34.474145
	1.632376	27.39112		2.208271	34.476725
	1.632691	27.405006		2.208389	34.480595
	1.63328	27.431617		2.208468	34.483178
	1.633673	27.449838		2.208586	34.48705
	1.633987	27.46431		2.208664	34.489632
	1.634301	27.478227		2.208782	34.493505
	1.634576	27.491251		2.2089	34.497379
	1.635166	27.518218		2.208978	34.499961
	1.635598	27.53795		2.209096	34.503835
	1.635873	27.550998		2.209175	34.506419
	1.636384	27.57424		2.209293	34.510294
	1.636973	27.601275		2.209371	34.512874
	1.637287	27.615252		2.209489	34.516749
	1.637602	27.6298		2.209568	34.519334
	1.638191	27.656882		2.209686	34.52321
	1.638466	27.669697		2.209764	34.525794
	1.63878	27.683704		2.209882	34.52967
	1.639094	27.698567		2.21	34.533546
	1.639487	27.716656		2.21	34.532914
	1.640077	27.743813		2.210196	34.539376
	1.640469	27.762211		2.210393	34.545838
	1.640784	27.776259		2.210471	34.548422
	1.641098	27.790879		2.210589	34.552303
	1.641491	27.808457		2.210786	34.558766
	1.642002	27.832737		2.210982	34.565231
	1.642394	27.850335		2.2111	34.569111
	1.642669	27.863511		2.211178	34.571697
	1.642984	27.877604		2.211296	34.575577
	1.643298	27.892271		2.211375	34.578164
	1.643887	27.919577		2.211493	34.582045
	1.644084	27.928966		2.211571	34.584634
	1.644398	27.943086		2.211689	34.588515
	1.644791	27.9616		2.211768	34.591101
	1.645066	27.973967		2.211964	34.597571
	1.645577	27.997518		2.212082	34.601454
	1.646166	28.02491		2.2122	34.605337
	1.646677	28.048786		2.212278	34.607925
	1.647187	28.072391		2.212396	34.610858
	1.647502	28.087434		2.212475	34.613447
	1.647777	28.099847		2.212671	34.619922
	1.648091	28.114615		2.212789	34.623805
	1.648091	28.114615		2.212868	34.626393
	1.648366	28.127042		2.213064	34.63287
	1.648994	28.156895		2.213182	34.636755
	1.649269	28.169336		2.2133	34.64064
	1.649584	28.184423		2.213378	34.643232
	1.649898	28.198655		2.213575	34.649709
	1.650291	28.217027		2.213889	34.660075
	1.650487	28.225929		2.213968	34.662665
	1.65088	28.244607		2.214282	34.673034
	1.651391	28.268353		2.214478	34.679517
	1.651666	28.280837		2.214596	34.682773
	1.65198	28.295976		2.214675	34.685366
	1.65257	28.323621		2.214793	34.689256
	1.652884	28.338491		2.214871	34.69185
	1.653198	28.352789		2.215068	34.698335
	1.653591	28.371536		2.215264	34.704818
	1.653866	28.384061		2.215775	34.721686
	1.654495	28.413282		2.216089	34.732068
	1.65477	28.426691		2.216364	34.741154
	1.655084	28.441027		2.216482	34.744097
	1.655398	28.45595		2.216796	34.754482
	1.655595	28.464917		2.217189	34.767472
	1.656184	28.492706		2.217464	34.776567
	1.656498	28.507652		2.217896	34.790858
	1.656695	28.516634		2.218289	34.803858
	1.657284	28.544466		2.218368	34.805821
	1.657677	28.563034		2.218564	34.812323
	1.657991	28.578304		2.218878	34.822724
	1.658266	28.590905		2.219193	34.833129
	1.65858	28.606188		2.219468	34.842238
	1.658895	28.620602		2.219979	34.859157
	1.65917	28.633806		2.220096	34.862105
	1.659798	28.663539		2.220489	34.875123
	1.660073	28.676174		2.220764	34.884238
	1.660466	28.694814		2.221079	34.89466
	1.66078	28.709269		2.221589	34.911596
	1.661173	28.728222		2.221668	34.913244
	1.661802	28.757749		2.221864	34.91976
	1.662077	28.771299		2.222296	34.934099
	1.662391	28.785785		2.222571	34.943227
	1.66298	28.813549		2.222768	34.949748
	1.663295	28.828935		2.223082	34.960183
	1.66357	28.841634		2.2232	34.964096
	1.664198	28.871264		2.223279	34.966066
	1.664473	28.883975		2.223789	34.983029
	1.664787	28.899393		2.223986	34.989557
	1.665298	28.923911		2.224693	35.01306
	1.665573	28.936644		2.224693	35.012098
	1.665887	28.951792		2.224889	35.01863
	1.666084	28.960894		2.225164	35.027773
	1.666398	28.976349		2.225793	35.048682
	1.666398	28.976349		2.226068	35.057831
	1.66687	28.998214		2.226186	35.061112
	1.667184	29.01339		2.226382	35.067651
	1.667498	29.027981		2.226696	35.078113
	1.668088	29.056245		2.227168	35.093809
	1.668402	29.071447		2.227482	35.104279
	1.668677	29.084236		2.227482	35.103315
	1.668991	29.09975		2.227875	35.116404
	1.669384	29.118035		2.228189	35.126877
	1.669698	29.133265		2.2287	35.1439
	1.669895	29.142416		2.228779	35.145878
	1.670484	29.170777		2.229289	35.16291
	1.670798	29.186031		2.229879	35.182569
	1.671073	29.198865		2.229996	35.186501
	1.671702	29.229105		2.230193	35.192092
	1.671977	29.241956		2.230272	35.194715
	1.672173	29.252031		2.230782	35.211766
	1.672488	29.266727		2.231293	35.228821
	1.67288	29.285699		2.231372	35.230801
	1.673391	29.310501		2.232472	35.267561
